GoPro Hero 9 Vendors,Price,Condition,Delivery,Website,
GoPro,399.99,New,Shipping,https://gopro.com/en/us/shop/cameras/hero9-black/CHDHX-901-master.html, 
ebay ,314.98,Used,Shipping,https://www.ebay.com/itm/353683339250?_trkparms=amclksrc%3DITM%26aid%3D1110002%26algo%3DSPLICE.SOI%26ao%3D1%26asc%3D234212%26meid%3D1caca5152b404d6f85dfee245e3d7955%26pid%3D101196%26rk%3D1%26rkt%3D12%26sd%3D353683398640%26itm%3D353683339250%26pmt%3D1%26noa%3D0%26pg%3D2047675%26algv%3DPromotedSellersOtherItemsV2WithMLRv3%26brand%3DGoPro&_trksid=p2047675.c101196.m2219&amdata=cksum%3A3536833392501caca5152b404d6f85dfee245e3d7955%7Cenc%3AAQAGAAACAFrBZwBk6n2ECiFzjjwXvvAU8Zz3FPFwcEdZYouwge1VamEHOdmVL2OshxVJs8eJ8Ou%252F%252BTGlePyt8pc077Gd14Yl83B8zSFLKLptperhIajNuie4ARaUzKYRX9lRHPZaZ3LabIfJXMyHeaWBU%252BYIsfce4ZESDdO1Ne6Be4%252BpkBR%252BziudLUeGhZAA%252Fo6xJXPGNiCmTvgnKFQXdJsg1ZXX%252BcKv4jo%252FZ4IwRmKvodeZDoc%252BGx6c%252FGnCj9YB4w1ckzqBjRnhZNPeOM6RdQ%252FXaggDF0rTeFKDoFTz%252Fl4UVBgeHA4HtPQfl7905GlTJd4oDbhr%252B57whUKhSzEBu9c4huB%252FYh9Xdt90QPCxr0imJsb1EhXznEuYpuvtdlHS2NQl%252BO52yRUXJEBjdFRpZYIGrBGIM2KvEm7JtGgeT4bPIxe3k2Wxl9J1TeSOuXBeusNznca5wtrkKOt%252F5WOprcCwr9Rnrnn%252B%252FMb4GzfR49ihTATnfxU3Nz%252BLjAEKN6R5XQiGsZw%252FPDjzZ0qGzzxnL6s5SVww5smNAVp%252BQxl%252BpI%252FrornWiezuw%252FYUqTSVmyRu%252Bf65bQGyBJgs5zI9ghwN6as6oOjdb%252B1VSbPFeEIuBlk4uVuOqVmMzYG1YmQJJOAfPwFBSeIgYbn%252FlWznZVLdq8%252FkyeXsLZS218iqlRUl2zxRGizSuPKP%7Campid%3APL_CLK%7Cclp%3A2047675&epid=18040937812, 
Amazon,399.99,New,Shipping,https://www.amazon.com/GoPro-HERO9-Black-Waterproof-Stabilization/dp/B08DK5ZH44, 
Best Buy,424.99,New,Shipping,https://www.bestbuy.com/site/gopro-hero9-black-5k-and-20-mp-streaming-action-camera-black/6427120.p?skuId=6427120, 
B&H PhotoVideo,399.99,New,Shipping,https://www.bhphotovideo.com/c/product/1585844-REG/gopro_chdhx_901_hero9_black.html, 
REI Coop,400,New,Shipping,https://www.rei.com/product/187651/gopro-hero9-black-camera, 
PictureLine,389.99,New,Shipping,https://www.pictureline.com/products/gopro-hero9-black-retail-bundle?variant=32789645361257, 
Adorama,399.99,New,Shipping,https://www.adorama.com/gph9b.html, 
Wallmart,419.68,New,Shipping,https://www.walmart.com/ip/GoPro-HERO9-Black-5K-and-20-MP-Streaming-Action-Camera-Black/132862733, 
Moment,399.99,New,Shipping,https://www.shopmoment.com/products/gopro-hero9-black/?irclickid=SqIXP4xfAxyIRePXoLXsl10nUkBVmz1JQxHA1E0&irgwc=1&partner_id=221109&timestamp=1632532058681, 
Focus,531.24,New,Shipping,https://www.focuscamera.com/gopro-hero9-5k-waterproof-action-camera-black.html, 
Divers Direct,349.99,New,Pickup,https://www.diversdirect.com/p/gopro-hero9-black, 
Target,399.99,New,Pickup,https://www.target.com/p/gopro-hero9-streaming-action-camera-black-chdhx-901/-/A-79807212, 
GameStop,429.49,New,Shipping,https://www.gamestop.com/electronics/cameras/wearable-cameras/products/gopro-hero9-black/276710.html, 
Sporty's Pilot Shop,399.99,New,Shipping,https://www.sportys.com/gopro-hero9-camera.html, 
BrandsMart USA,399,New,Shipping,https://www.brandsmartusa.com/2726/246722/hero9-black-5k-uhd-waterproof-action-camera-with-hypersmooth-3-0.htm, 
Costco,389,New,Shipping,https://www.costco.com/gopro-hero9-black-action-camera-bundle.product.100756138.html, 
,,,,,
,,,,,
Average Price,402.84,,,,
Price Standard Deviation,42.51,,,,
Price Median,399.99,,,,
Maximum Value,531.24,,,,
Minimum Value,314.98,,,,
Range,216.26,,,,
